x_0,x_1,x_2
1.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.5907846715328468
0.0,0.5907846715328468,0.8197992700729927
0.5907846715328468,0.8197992700729927,0.01551094890510949
0.8197992700729927,0.01551094890510949,0.0
0.01551094890510949,0.0,0.0
0.0,0.0,0.1906934306569343
0.0,0.1906934306569343,0.21532846715328466
0.1906934306569343,0.21532846715328466,0.21076642335766424
0.21532846715328466,0.21076642335766424,0.21487226277372262
0.21076642335766424,0.21487226277372262,0.03512773722627737
0.21487226277372262,0.03512773722627737,0.0004562043795620438
0.03512773722627737,0.0004562043795620438,0.0
0.0004562043795620438,0.0,0.0
0.0,0.0,0.015054744525547444
0.0,0.015054744525547444,0.017791970802919707
0.015054744525547444,0.017791970802919707,0.012773722627737226
0.017791970802919707,0.012773722627737226,0.017335766423357664
0.012773722627737226,0.017335766423357664,0.007755474452554745
0.017335766423357664,0.007755474452554745,0.0031934306569343066
0.007755474452554745,0.0031934306569343066,0.0
0.0031934306569343066,0.0,0.0
0.0,0.0,0.0
