x_0,x_1,x_2
2.570032201678797,3.7968689730739205,-0.319889539938452
3.7968689730739205,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.1275842114759363
-0.319889539938452,-0.1275842114759363,-0.3163283301521091
-0.1275842114759363,-0.3163283301521091,-0.303864095899909
-0.3163283301521091,-0.303864095899909,-0.18990538273693675
-0.303864095899909,-0.18990538273693675,-0.319889539938452
-0.18990538273693675,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.319889539938452
-0.319889539938452,-0.319889539938452,-0.31098651547259476
