x_0,x_1,x_2
0.2110421430904933,1.0,0.2629859523031689
1.0,0.2629859523031689,0.02025481868670369
0.2629859523031689,0.02025481868670369,0.028422084286180985
0.02025481868670369,0.028422084286180985,0.0026135249918327343
0.028422084286180985,0.0026135249918327343,0.0022868343678536427
0.0026135249918327343,0.0022868343678536427,0.02025481868670369
0.0022868343678536427,0.02025481868670369,0.0013067624959163672
0.02025481868670369,0.0013067624959163672,0.0
0.0013067624959163672,0.0,0.0
0.0,0.0,0.002940215615811826
0.0,0.002940215615811826,0.0035935968637700096
0.002940215615811826,0.0035935968637700096,0.0003266906239790918
0.0035935968637700096,0.0003266906239790918,0.0
0.0003266906239790918,0.0,0.0009800718719372753
