x_0,x_1,x_2
-1.3569253304260922,-1.3598292677123436,-1.3673713061545338
-1.3598292677123436,-1.3673713061545338,-1.3586500648891362
-1.3673713061545338,-1.3586500648891362,-1.3739317076049247
-1.3586500648891362,-1.3739317076049247,-1.3578122404645263
-1.3739317076049247,-1.3578122404645263,-1.37288841245711
-1.3578122404645263,-1.37288841245711,-1.3623493095748331
-1.37288841245711,-1.3623493095748331,-1.3633725789967626
-1.3623493095748331,-1.3633725789967626,-1.3390484929122315
-1.3633725789967626,-1.3390484929122315,-1.3891911601601694
-1.3390484929122315,-1.3891911601601694,-1.3699589724842283
-1.3891911601601694,-1.3699589724842283,-1.3811951927171313
-1.3699589724842283,-1.3811951927171313,-1.392230553413711
-1.3811951927171313,-1.392230553413711,-1.346304468377231
-1.392230553413711,-1.346304468377231,-1.2892146246159855
-1.346304468377231,-1.2892146246159855,-1.119329973911542
-1.2892146246159855,-1.119329973911542,-1.0617769223121731
-1.119329973911542,-1.0617769223121731,-1.0245813009148539
-1.0617769223121731,-1.0245813009148539,-0.9943301081398841
-1.0245813009148539,-0.9943301081398841,-1.087322859993273
-0.9943301081398841,-1.087322859993273,-1.012766555529448
-1.087322859993273,-1.012766555529448,-1.0034517886383045
-1.012766555529448,-1.0034517886383045,-0.9918531667588584
-1.0034517886383045,-0.9918531667588584,-0.9925345872529167
-0.9918531667588584,-0.9925345872529167,-0.9385923772993165
-0.9925345872529167,-0.9385923772993165,-0.9016643364893203
-0.9385923772993165,-0.9016643364893203,-0.896531257358703
-0.9016643364893203,-0.896531257358703,-0.869612164687809
-0.896531257358703,-0.869612164687809,-0.8408905496543561
-0.869612164687809,-0.8408905496543561,-0.791860759423216
-0.8408905496543561,-0.791860759423216,-0.8232766250774238
-0.791860759423216,-0.8232766250774238,-0.7582648751808083
-0.8232766250774238,-0.7582648751808083,-0.6914332309808517
-0.7582648751808083,-0.6914332309808517,-0.6216765133196726
-0.6914332309808517,-0.6216765133196726,-0.5534449316036673
-0.6216765133196726,-0.5534449316036673,-0.5407425609753315
-0.5534449316036673,-0.5407425609753315,-0.4615709289724112
-0.5407425609753315,-0.4615709289724112,-0.3901419502727823
-0.4615709289724112,-0.3901419502727823,-0.35699175135834865
-0.3901419502727823,-0.35699175135834865,-0.22345938302352775
-0.35699175135834865,-0.22345938302352775,-0.15029379370198873
-0.22345938302352775,-0.15029379370198873,0.07874090377766493
-0.15029379370198873,0.07874090377766493,0.15273215904738346
0.07874090377766493,0.15273215904738346,0.21730019983897422
0.15273215904738346,0.21730019983897422,0.2620671454204739
0.21730019983897422,0.2620671454204739,0.3342837713029737
0.2620671454204739,0.3342837713029737,0.4034533060730155
0.3342837713029737,0.4034533060730155,0.4422465625659881
0.4034533060730155,0.4422465625659881,0.5057878143766826
0.4422465625659881,0.5057878143766826,0.5212205346316456
0.5057878143766826,0.5212205346316456,0.5659529998279743
0.5212205346316456,0.5659529998279743,0.5478105767709107
0.5659529998279743,0.5478105767709107,0.6612627319305284
0.5478105767709107,0.6612627319305284,0.7252038959814592
0.6612627319305284,0.7252038959814592,0.7012129258014809
0.7252038959814592,0.7012129258014809,0.6915332916904005
0.7012129258014809,0.6915332916904005,0.5665306780277845
0.6915332916904005,0.5665306780277845,0.6230225355457703
0.5665306780277845,0.6230225355457703,0.6127198265705607
0.6230225355457703,0.6127198265705607,0.6236840808833106
0.6127198265705607,0.6236840808833106,0.6468231672239833
0.6236840808833106,0.6468231672239833,0.6478547179611285
0.6468231672239833,0.6478547179611285,0.747133515056045
0.6478547179611285,0.747133515056045,0.645493714993123
0.747133515056045,0.645493714993123,0.7599765551160225
0.645493714993123,0.7599765551160225,0.8170249358376764
0.7599765551160225,0.8170249358376764,0.9244606590295513
0.8170249358376764,0.9244606590295513,0.7955716241361919
0.9244606590295513,0.7955716241361919,0.884910377398835
0.7955716241361919,0.884910377398835,0.8646076603407219
0.884910377398835,0.8646076603407219,0.8710030377642682
0.8646076603407219,0.8710030377642682,0.8560181296295961
0.8710030377642682,0.8560181296295961,0.8581857638873142
0.8560181296295961,0.8581857638873142,0.9265222924525081
0.8581857638873142,0.9265222924525081,1.001514946943518
0.9265222924525081,1.001514946943518,0.9285793335097542
1.001514946943518,0.9285793335097542,0.8980803223769536
0.9285793335097542,0.8980803223769536,0.7834919143062246
0.8980803223769536,0.7834919143062246,0.7318792195016393
0.7834919143062246,0.7318792195016393,0.8340062055744685
0.7318792195016393,0.8340062055744685,0.8972849396928244
0.8340062055744685,0.8972849396928244,0.896945838655911
0.8972849396928244,0.896945838655911,0.9609172106862083
0.896945838655911,0.9609172106862083,1.32956613085863
0.9609172106862083,1.32956613085863,1.4536375482675785
1.32956613085863,1.4536375482675785,1.3277821285282807
1.4536375482675785,1.3277821285282807,1.7174298667662107
1.3277821285282807,1.7174298667662107,1.7447152194236912
1.7174298667662107,1.7447152194236912,1.7000740933699579
1.7447152194236912,1.7000740933699579,1.7944346173582506
1.7000740933699579,1.7944346173582506,2.3959773090796865
