x_0,x_1,x_2
0.8487334998216197,1.0,0.49268640742062075
1.0,0.49268640742062075,0.8123439172315376
0.49268640742062075,0.8123439172315376,0.1537638244737781
0.8123439172315376,0.1537638244737781,0.08383874420264002
0.1537638244737781,0.08383874420264002,0.0021405636817695326
0.08383874420264002,0.0021405636817695326,0.0
0.0021405636817695326,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0007135212272565109
0.0,0.0007135212272565109,0.0035676061362825543
0.0007135212272565109,0.0035676061362825543,0.00035676061362825543
0.0035676061362825543,0.00035676061362825543,0.0
0.00035676061362825543,0.0,0.0
