series,degree,alpha,mse,mae,mase,smape,mase_horizon,reliability_80
rappi_entregas_black,2,0.01,6683513.574939622,2355.222210395209,0.9445447003790692,0.25073606822748007,0.21831263594775907,0.14285714285714285
rappi_entregas_ocean_plastic,6,0.1,680126.8092431636,622.9862134149339,0.8857623887416122,0.16061791815767157,0.8786829526303722,0.5
rappi_entregas_cardjolote_black,5,10.0,1973062.0974732707,1043.1752995665495,0.3439559162730246,0.2606861069715531,0.39570423881139855,0.2
rappi_entregas_cincita,4,100.0,12327.97137759334,99.85970489723537,1.7832090160220602,0.5639980366181894,0.5043419439254312,0.25
rappi_entregas_onix,7,0.01,0.42493311759812763,0.5507041622257441,0.008344002457965821,0.9999999924499887,0.0022416723021400713,
rappi_entregas_pride_2022,1,100.0,182.76792899203798,13.404995042795118,0.48677356300652663,0.9252463640369425,0.4887237776019054,0.0
rappi_entregas_mundial,10,0.1,37772.232375549815,183.53898668901735,0.6390911397223673,0.8953018488528605,0.41970955108396374,0.0
rappi_entregas_pride_hologlam,3,0.01,0.03477796315700245,0.13750416383496145,0.0007534474730682819,0.9999999818400437,0.0002763506020226041,
rappi_entregas_pride_colors,2,0.1,1.0095848147247226,0.9022114280965923,0.010729967430286529,0.9999999973638273,0.0033362282074358932,
rappi_entregas_cardlaveritas,4,0.01,18.184084544109712,2.4651374481700943,0.006992195724403041,0.726972508715916,0.0028465790394573837,0.0
rappi_entregas_cardtrinas,10,0.01,14.105144180675405,2.9756971287304053,0.02724442945938316,0.5006393647399484,0.007641749174962521,0.25
rappi_entregas_cardjolote_white,2,0.01,73.39607142553652,7.411176643837075,0.06143980637377886,0.5334492230519748,0.0330856100171298,0.25
rappi_entregas_playcard,10,100.0,697926.182497115,664.9271792010834,0.37057059959190974,0.5053965945264202,1.0763693714303253,0.3333333333333333
rappi_entregas_gotica,2,0.01,488.4294814260391,22.016640888339833,0.04958702902779242,0.5354656061681736,0.015183890267820575,0.0
rappi_entregas_pride_2024,3,10.0,6080.3515940471225,58.9533958545447,0.0688976188405275,0.8114159438799029,0.023001715120774365,0.0
rappi_entregas_minion_rayo,8,10.0,997.8451386556363,23.601210448329113,0.1257613345381658,0.12706097796454313,0.07206476472772248,0.5
rappi_entregas_minion_mega,1,1.0,30757.00466458972,145.9242381687855,0.41652969981575316,0.9999999999876658,0.19639870547615815,0.0
rappi_entregas_cardlaveritas_2024,9,0.01,68185.47150445796,261.1234794200973,0.17619667977064593,0.7151648528166631,0.17619667977064593,0.0
alan_mastercard,2,0.01,4328321443365.7656,1503599.7428896548,6.473958091218294,0.061064039567613394,0.9560315140894107,0.7727272727272727
alan_not_mastercard_or_visa,2,10.0,1518401237794.174,1092068.4862619515,4.498697719457047,0.5637392368271098,1.2145381849827526,0.045454545454545456
alan_tarjetas_debito,1,0.1,343715720245333.6,11919847.81311858,4.563230542305801,0.03433005254238797,0.18887369779101687,0.9629629629629629
alan_visa,2,0.01,12340295780585.66,2817368.2768614907,5.180923607418188,0.07314330467264364,0.7351904203148992,0.7272727272727273
bancacred_tarjeta_de_credito,1,0.01,23205335813238.633,3840705.948164475,7.238542168483829,0.06349866211680588,2.437156103895082,0.7333333333333333
bancacred_personal,2,10.0,422611222042.6638,556877.9663903998,1.11124680100395,0.022322202289738666,0.2121045597963567,1.0
bancacred_total,2,1.0,54666389356021.1,6134016.65704775,6.554077602604091,0.053966735161890614,1.2295289042452848,0.9333333333333333
