,Entregas Black,Entregas Cardjolote Black,Entregas Ocean Plastic
MAE,859.8745500495885,1741.0761735491403,1629.817116303145
SMAPE,30.027505354429174,97.37485998436041,79.05074590921379
MASE,0.9326188178412023,1.8812276321438577,7.835659212995889
